Condition,R2_Mean,R2_Std,R2_p_vs_TRTR,RMSE_Mean,RMSE_Std,RMSE_p_vs_TRTR,MAE_Mean,MAE_Std
TRTR,0.87887077042719,0.008998154956504068,N/A,0.3389253104828641,0.014316061208709369,N/A,0.19262607144130853,0.0036428435455298563
TabSyn_1xTrain,0.8772711770464834,0.009906863366704757,0.0098,0.34112225837104004,0.015525693379718722,0.0098,0.1910949095308488,0.007921540898218808
TSTR_Pure_1xTrain,0.8776097267822323,0.00963813263343204,0.0273,0.340616205483684,0.013958185764935734,0.0273,0.19622594835150567,0.005859576268191672
TSTR_Pruned_0.5_1xTrain,0.8782567108343533,0.009590642848992852,0.1055,0.33975569770216085,0.015032275825820614,0.1055,0.18992061761794468,0.004860791006206406
TabSyn_2xTrain,0.8773781129631575,0.009758115235896122,0.0195,0.3409834556642708,0.01538377835742156,0.0137,0.19137033734236503,0.008251450830920878
TSTR_Pure_2xTrain,0.877938204662472,0.009400063001808937,0.0645,0.340176316618625,0.013838863694454124,0.0840,0.1952984205409087,0.004276424344001137
TSTR_Pruned_0.5_2xTrain,0.8785288873756439,0.009459231890120965,0.2754,0.3393846834347731,0.014972207545075852,0.2754,0.19035902094417706,0.005273502555062575
Augmented_Real_Pruned_1xTrain,0.878761972871952,0.009267155966419938,0.3750,0.33906524438504165,0.014678187730952447,0.4316,0.19112727574772245,0.004036804675883892
Augmented_Real_Pruned_2xTrain,0.8787857341797431,0.009282868034583442,0.6953,0.33903309466614073,0.01475076975213876,0.6953,0.19100199168143134,0.004562524259122827
