Iteration,Seed,TabSyn_Test_AUC,TabSyn_Test_AUC_10x,Achieved_Ratio_10x,Time_Train_Sec,Time_Sample_Sec,Time_Sample_10x_Sec
5,46,0.5723245064712678,0.5999806176581187,10.0000,1439.90,9.03,27.99
6,47,0.5599678421666874,0.5742297110888719,10.0000,1441.74,9.15,27.95
7,48,0.5747405575222964,0.5887518558358266,10.0000,1737.62,9.13,28.09
8,49,0.5628840887265558,0.5833502733752916,10.0000,1560.41,9.15,28.19
9,50,0.5622232164125551,0.579852280337204,10.0000,1615.43,9.09,28.05
10,51,0.5558195996488332,0.5643164625184834,10.0000,1760.79,9.11,28.11
