Condition,R2_Mean,R2_Std,R2_p_vs_TRTR,RMSE_Mean,RMSE_Std,RMSE_p_vs_TRTR,MAE_Mean,MAE_Std
TRTR,0.8442791168644617,0.026544274643869777,N/A,0.3791333016384539,0.04840456740173779,N/A,0.21267454196925342,0.00991981858128672
TabSyn_1xTrain,0.788026585920458,0.08562048249500946,0.0020,0.43390783556182394,0.061011716822414706,0.0020,0.2245929918683877,0.040658428682944434
TSTR_Pure_1xTrain,0.8395234238547532,0.030456556971701295,0.0137,0.38424828628004754,0.05030835046771716,0.0371,0.21085684226195442,0.009843393715726971
TSTR_Pruned_0.5_1xTrain,0.839916406249474,0.02801020484950407,0.0059,0.3842378170741704,0.04889884762457092,0.0059,0.2169447527687906,0.011569702710492454
TabSyn_2xTrain,0.7915357254112209,0.07404071136412053,0.0020,0.43190800080593716,0.05548743988330714,0.0020,0.2235545157274342,0.03870952586392339
TSTR_Pure_2xTrain,0.8409995911938613,0.029309786255654956,0.0488,0.38280714067714644,0.05108758646966945,0.0840,0.21011482401360504,0.01002256001329874
TSTR_Pruned_0.5_2xTrain,0.8418573140609931,0.027085847316797033,0.0195,0.38210343376600514,0.049128072609302124,0.0195,0.21379834129964573,0.011925131693813653
Augmented_Real_Pruned_1xTrain,0.842971203308745,0.027060264323043256,0.0488,0.38066559261569816,0.048694200461242544,0.0488,0.21344067710467834,0.010251070687570975
Augmented_Real_Pruned_2xTrain,0.8432299375626642,0.026885116029244545,0.1934,0.3804325088588668,0.04901729680492774,0.1602,0.21251966518484222,0.010918921626799355
