Iteration,Seed,TabSyn_Test_AUC,TabSyn_Test_AUC_10x,Achieved_Ratio_10x,Time_Train_Sec,Time_Sample_Sec,Time_Sample_10x_Sec
5,46,0.5550051846934864,0.5675338669907786,10.0000,1179.61,8.63,26.09
6,47,0.5647042213514876,0.5867838261373098,10.0000,1174.41,8.46,25.92
7,48,0.5430596490405689,0.555206810628989,10.0000,1376.19,8.51,25.93
8,49,0.5335137954514023,0.5566266279421357,10.0000,1256.53,8.51,25.78
9,50,0.5458301048164682,0.5587473159247798,10.0000,1383.74,8.50,26.02
10,51,0.5461792078212466,0.562354693489236,10.0000,1250.91,8.50,26.08
