Iteration,Seed,TabSyn_Test_AUC,TabSyn_Test_AUC_10x,Achieved_Ratio_10x,Time_Train_Sec,Time_Sample_Sec,Time_Sample_10x_Sec
5,46,0.6467876988937624,0.6982097418452639,10.0000,822.82,5.67,16.92
6,47,0.6722088748803026,0.7326106176268182,10.0000,919.79,5.63,17.04
7,48,0.7451367918867753,0.8075537383578115,10.0000,877.00,5.61,17.04
8,49,0.6842533203043684,0.7305946791862284,10.0000,882.04,5.66,17.00
9,50,0.6237641463456447,0.7014214306881106,10.0000,919.59,5.59,17.05
10,51,0.6844296521609224,0.7158859083907024,10.0000,838.61,5.65,16.93
