Iteration,Seed,TabSyn_Test_AUC,TabSyn_Test_AUC_10x,Achieved_Ratio_10x,Time_Train_Sec,Time_Sample_Sec,Time_Sample_10x_Sec
5,46,0.6157116582296772,0.6639847081095511,10.0000,881.11,5.54,16.72
6,47,0.693302573220579,0.7387552930170136,10.0000,914.87,5.53,16.66
7,48,0.6854337641218551,0.7339116773322949,10.0000,986.07,5.55,16.72
8,49,0.6790392852682081,0.7108551850137514,10.0000,920.44,5.54,16.74
9,50,0.6498612611156419,0.7189036321913396,10.0000,945.30,5.89,16.80
10,51,0.6202142432057132,0.6525009734987914,10.0000,906.84,5.58,16.75
