Condition,R2_Mean,R2_Std,R2_p_vs_TRTR,RMSE_Mean,RMSE_Std,RMSE_p_vs_TRTR,MAE_Mean,MAE_Std
TRTR,0.8583728924248006,0.01676553224822501,N/A,0.35421983385983147,0.038769078260540574,N/A,0.20607496569538813,0.011389294498387856
TabSyn_1xTrain,0.7813997858297184,0.07659922466723153,0.0020,0.43342661398757476,0.07474046999906973,0.0020,0.23685668058546022,0.03237283975861248
TSTR_Pure_1xTrain,0.8572888424708707,0.018198278956237872,0.8457,0.3556704304818312,0.04143419798142152,0.7695,0.20542855585483988,0.014121696277024687
TSTR_Pruned_0.55_1xTrain,0.854789471740677,0.019359035480724214,0.0137,0.3583637286735104,0.03938439392630187,0.0137,0.21093219565207222,0.013205330939689884
TabSyn_2xTrain,0.7830506123187413,0.07763857771907148,0.0020,0.4311386804509606,0.0745250459774818,0.0020,0.23531361806625659,0.030349765925882344
TSTR_Pure_2xTrain,0.858167657545389,0.017802883474061924,0.8457,0.35450172189515705,0.04043564880205385,0.8457,0.205831679534712,0.013366055953730256
TSTR_Pruned_0.55_2xTrain,0.8557502755265197,0.018840840302823084,0.0371,0.35726473415245774,0.03963943656961822,0.0371,0.2101287832974957,0.012467775964216454
Augmented_Real_Pruned_1xTrain,0.8574128257292045,0.017965669061329993,0.1309,0.35529498021049283,0.039230218788989954,0.1309,0.20750470485483943,0.01214509391625658
Augmented_Real_Pruned_2xTrain,0.857149022767412,0.01805228589479029,0.1055,0.3556243031066989,0.039447123108504255,0.1055,0.20817483584617263,0.011975654927035385
