Condition,R2_Mean,R2_Std,R2_p_vs_TRTR,RMSE_Mean,RMSE_Std,RMSE_p_vs_TRTR,MAE_Mean,MAE_Std
TRTR,0.8627052024481108,0.010056134678532261,N/A,0.3693606805605735,0.014396345390626425,N/A,0.19447667581208394,0.005291308194977109
TabSyn_1xTrain,0.8609924437346665,0.008658566780429727,0.1055,0.3718167794272979,0.015084448799700112,0.0840,0.19509554610029795,0.009143844573038257
TSTR_Pure_1xTrain,0.8619361879479325,0.009936998334672096,0.0273,0.3703919185266555,0.01392385290947543,0.0273,0.19991384903874085,0.005982402688018169
TSTR_Pruned_0.5_1xTrain,0.8619375818961752,0.011152621669501341,0.4316,0.3702611169826077,0.013494951459659099,0.4316,0.19764379025079207,0.006401153887154174
TabSyn_2xTrain,0.8613834208809326,0.008753434503930237,0.1055,0.37127221759866874,0.014771756388923987,0.0840,0.19577590292033725,0.008401029919973185
TSTR_Pure_2xTrain,0.8618654161650486,0.010187670140813935,0.0195,0.37045206952160303,0.013544598213927941,0.0195,0.20027670870493441,0.005631468533309103
TSTR_Pruned_0.5_2xTrain,0.8620987122439597,0.01071973378696505,0.1934,0.3700961005708175,0.013802745002153623,0.1934,0.19756273171126265,0.006295633883790661
Augmented_Real_Pruned_1xTrain,0.8625608615861389,0.01049603755654104,0.6250,0.36950030603582357,0.014000813463898027,0.6250,0.19565903753605302,0.005673101593028077
Augmented_Real_Pruned_2xTrain,0.8624579955795045,0.010466083226497148,0.6953,0.36964315253842595,0.014033780627871825,0.6250,0.19621573320543959,0.005884520788596533
